step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
510.0,35,12,11,300,335,0,351.0,10.028571428571428,7.201387164111092,11,351.0,0.41021501470364,11,351.0
515.0,38,11,12,301,339,0,407.0,10.710526315789474,7.459359802672997,12,407.0,0.3720549243724687,12,407.0
520.0,39,10,13,305,344,0,468.0,12.0,7.418524458966413,13,468.0,0.3718694818586292,13,468.0
525.0,39,8,14,311,350,0,534.0,13.692307692307692,7.447964518328592,14,534.0,0.4008365202898374,14,534.0
530.0,42,4,10,316,358,0,178.0,4.238095238095238,6.710205450992313,10,420.0,0.4012899952624945,10,420.0
535.0,45,2,5,320,365,0,19.0,0.4222222222222222,6.374141184033475,5,213.0,0.346228198462147,5,213.0
540.0,47,1,11,323,370,0,65.0,1.3829787234042554,6.164690719075536,11,96.0,0.3022005954469497,11,96.0
545.0,48,0,17,327,375,0,141.0,2.9375,5.608534401181907,17,141.0,0.24533370602516064,17,141.0
550.0,46,0,22,332,378,0,243.0,5.282608695652174,4.6706919055713625,22,243.0,0.1682684643185194,22,243.0
555.0,46,0,28,336,382,0,373.0,8.108695652173912,4.1907612076345835,28,373.0,0.13307151344905757,28,373.0
560.0,45,0,32,342,387,0,523.0,11.622222222222222,2.670968278133244,32,523.0,0.0646505206907078,32,523.0
565.0,42,3,36,346,388,0,695.0,16.547619047619047,1.8816337229212425,36,695.0,0.05038161000945478,36,695.0
570.0,40,7,36,349,389,0,875.0,21.875,1.2554443768296035,36,875.0,0.049226355386960116,36,875.0
575.0,42,11,36,349,391,0,1055.0,25.11904761904762,1.9304240748201036,36,1055.0,0.07534635837538835,36,1055.0
580.0,41,15,36,350,391,0,1235.0,30.121951219512194,1.6617725526423923,36,1235.0,0.05202772272056107,36,1235.0
585.0,41,16,36,351,392,0,1415.0,34.51219512195122,1.673498486743259,36,1415.0,0.024995671789009757,36,1415.0
590.0,40,17,36,353,393,0,1595.0,39.875,1.4570587203854017,36,1595.0,0.050512594046570984,36,1595.0
595.0,39,18,36,355,394,0,1775.0,45.51282051282051,1.044294999105792,36,1775.0,0.05052394587148001,36,1775.0
600.0,41,22,36,355,396,0,1955.0,47.68292682926829,1.622720460914708,36,1955.0,0.07550191791147685,36,1955.0
605.0,40,26,36,356,396,0,2135.0,53.375,1.3024931442219354,36,2135.0,0.05128473811435757,36,2135.0
610.0,39,28,36,357,396,0,2315.0,59.35897435897436,0.90665040688065,36,2315.0,0.026447958342330435,36,2315.0
615.0,39,32,36,357,396,0,2495.0,63.97435897435897,0.9002164085374256,36,2495.0,0.0,36,2495.0
620.0,41,34,36,358,399,0,2675.0,65.2439024390244,1.5296557245065352,36,2675.0,0.07492218601929893,36,2675.0
625.0,41,37,36,360,401,0,2855.0,69.63414634146342,1.594410019050737,36,2855.0,0.11379620427990647,36,2855.0
630.0,43,39,36,360,403,0,3035.0,70.5813953488372,2.1366020807566772,36,3035.0,0.13392050608862838,36,3035.0
635.0,45,40,31,360,405,0,2598.0,57.733333333333334,2.2341939858297093,31,3000.0,0.11126354425182718,31,3000.0
640.0,46,42,23,360,406,0,1750.0,38.04347826086956,3.748298503909971,23,2731.0,0.15003937413364182,23,2731.0
645.0,45,43,17,362,407,0,998.0,22.177777777777777,5.012673540197982,17,2237.0,0.16257800695831726,17,2237.0
650.0,42,47,9,365,407,0,250.0,5.9523809523809526,6.569098669110595,9,1816.0,0.26711714020301713,9,1816.0
