step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
320.0,24,0,2,181,205,0,6.0,0.25,9.389622763627413,2,15.0,0.5519783642798948,2,15.0
325.0,26,0,8,185,211,0,35.0,1.3461538461538463,8.02845157964898,8,44.0,0.4530204656269651,8,44.0
330.0,26,0,6,188,214,0,27.0,1.0384615384615385,6.699242657975557,6,59.0,0.3873945273449557,6,59.0
335.0,29,0,3,190,219,0,9.0,0.3103448275862069,7.45891055500427,3,42.0,0.40663304789275767,3,42.0
340.0,30,0,6,191,221,0,33.0,1.1,8.505580648882326,6,45.0,0.40775259799915314,6,45.0
345.0,28,0,5,195,223,0,16.0,0.5714285714285714,7.030189251692846,5,47.0,0.31720155287290086,5,47.0
350.0,23,0,6,201,224,0,27.0,1.173913043478261,6.297645106313341,6,45.0,0.2395493337547456,6,45.0
355.0,25,0,6,203,228,0,20.0,0.8,6.133401824635073,6,62.0,0.29751435884783217,6,62.0
360.0,27,0,3,207,234,0,22.0,0.8148148148148148,8.635666485548194,3,53.0,0.5643544753010638,3,53.0
365.0,29,0,3,209,238,0,37.0,1.2758620689655173,10.194614711304963,3,50.0,0.6738987695665176,3,50.0
370.0,30,0,1,212,242,0,3.0,0.1,8.110109256869006,1,22.0,0.4833991328659266,1,22.0
375.0,28,0,6,217,245,0,26.0,0.9285714285714286,7.921165484796108,6,26.0,0.4032447954907076,6,26.0
380.0,29,0,7,221,250,0,23.0,0.7931034482758621,6.892268180827234,7,50.0,0.35107088196961567,7,50.0
385.0,28,0,3,225,253,0,18.0,0.6428571428571429,7.711920943866612,3,43.0,0.4330724501957207,3,43.0
390.0,27,0,3,227,254,0,33.0,1.2222222222222223,8.300410945852938,3,37.0,0.37789209076715474,3,37.0
395.0,28,0,2,230,258,0,3.0,0.10714285714285714,6.959215712929101,2,23.0,0.3839022580336784,2,23.0
400.0,27,0,8,234,261,0,29.0,1.0740740740740742,7.475749283881134,8,33.0,0.36679815260615106,8,33.0
405.0,26,0,5,239,265,0,20.0,0.7692307692307693,6.908223604608547,5,48.0,0.36355450408329826,5,48.0
410.0,27,0,1,243,270,0,1.0,0.037037037037037035,8.299239776866727,1,30.0,0.4698282025943351,1,30.0
415.0,26,0,1,245,271,0,2.0,0.07692307692307693,10.624516829736454,1,6.0,0.6436276040864726,1,6.0
420.0,26,0,2,249,275,0,3.0,0.11538461538461539,8.904315396143643,2,5.0,0.5181950057513894,2,5.0
425.0,24,0,8,254,278,0,29.0,1.2083333333333333,7.493872440745432,8,31.0,0.3685258596188962,8,31.0
430.0,25,0,5,259,284,0,22.0,0.88,6.977571086612833,5,50.0,0.45351611996777763,5,50.0
435.0,24,0,3,262,286,0,9.0,0.375,7.5517643859600865,3,35.0,0.4888671430733631,3,35.0
440.0,27,0,3,262,289,0,24.0,0.8888888888888888,9.620329702946126,3,24.0,0.5689803789216726,3,24.0
445.0,25,0,5,265,290,0,45.0,1.8,9.166132761605946,5,45.0,0.4529975036887471,5,45.0
450.0,26,0,1,269,295,0,1.0,0.038461538461538464,8.54691411837646,1,30.0,0.5183217363680857,1,30.0
455.0,23,0,4,275,298,0,14.0,0.6086956521739131,9.370329782633313,4,14.0,0.576584198880583,4,14.0
460.0,21,0,1,279,300,0,1.0,0.047619047619047616,9.068190505599436,1,12.0,0.5841754391744685,1,12.0
465.0,23,0,1,282,305,0,1.0,0.043478260869565216,10.156310641234485,1,3.0,0.6357188021977863,1,3.0
470.0,21,0,2,286,307,0,4.0,0.19047619047619047,8.393659759029292,2,6.0,0.4767267535986157,2,6.0
475.0,22,0,7,290,312,0,27.0,1.2272727272727273,6.6795067751111725,7,29.0,0.3737451454881188,7,29.0
480.0,19,0,5,293,312,0,16.0,0.8421052631578947,4.541018201041137,5,43.0,0.24876917171895224,5,43.0
485.0,24,0,2,294,318,0,2.0,0.08333333333333333,8.409789010930924,2,25.0,0.48336717279303504,2,25.0
490.0,27,0,4,295,322,0,9.0,0.3333333333333333,7.927074703670072,4,32.0,0.4545254938221471,4,32.0
495.0,27,0,10,299,326,0,45.0,1.6666666666666667,6.068572581038272,10,68.0,0.2974742531614696,10,68.0
500.0,29,0,9,301,330,0,46.0,1.5862068965517242,5.66733396144588,9,96.0,0.3222499975939894,9,96.0
505.0,30,0,6,304,334,0,13.0,0.43333333333333335,6.330151577321478,6,81.0,0.3460458560413401,6,81.0
510.0,34,0,3,305,339,0,21.0,0.6176470588235294,7.64136433293211,3,51.0,0.37475365589798937,3,51.0
515.0,33,0,4,309,342,0,39.0,1.1818181818181819,7.971697308336852,4,45.0,0.39876688388386183,4,45.0
520.0,33,0,4,314,347,0,59.0,1.7878787878787878,8.894689802309307,4,59.0,0.5300514134404835,4,59.0
525.0,31,0,4,319,350,0,79.0,2.5483870967741935,9.558135189578504,4,79.0,0.6084966439659354,4,79.0
530.0,29,0,4,323,352,0,99.0,3.413793103448276,9.97920027169443,4,99.0,0.6263092699158136,4,99.0
535.0,29,0,2,328,357,0,3.0,0.10344827586206896,8.16527972445557,2,53.0,0.4902707571961707,2,53.0
540.0,24,0,7,333,357,0,28.0,1.1666666666666667,7.988024600422133,7,28.0,0.39678642906475886,7,28.0
545.0,24,0,6,338,362,0,18.0,0.75,6.65076848021103,6,46.0,0.3636843126369501,6,46.0
550.0,24,0,3,342,366,0,16.0,0.6666666666666666,9.1314850280488,3,30.0,0.6039387578774147,3,30.0
555.0,26,0,2,343,369,0,2.0,0.07692307692307693,8.390627352118253,2,14.0,0.5337966647768095,2,14.0
560.0,26,0,6,346,372,0,22.0,0.8461538461538461,7.004151641399271,6,29.0,0.3602023653626766,6,29.0
565.0,23,0,5,351,374,0,18.0,0.782608695652174,5.906956588158728,5,44.0,0.3159124668543093,5,44.0
570.0,25,0,1,354,379,0,5.0,0.2,8.606772872685582,1,28.0,0.5306729718962151,1,28.0
575.0,27,0,3,356,383,0,19.0,0.7037037037037037,10.460232069691589,3,20.0,0.6402655796205285,3,20.0
